"filename", "language", "JSON", "JavaScript", "WXML", "CSS", "comment", "blank", "total"
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\.cloudbase\container\debug.json", "JSON", 1, 0, 0, 0, 0, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\.eslintrc.js", "JavaScript", 0, 25, 0, 0, 6, 1, 32
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\app.js", "JavaScript", 0, 27, 0, 0, 4, 4, 35
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\app.json", "JSON", 39, 0, 0, 0, 0, 0, 39
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\app.wxss", "CSS", 0, 0, 0, 26, 1, 5, 32
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\animation.wxss", "CSS", 0, 0, 0, 141, 6, 38, 185
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.js", "JavaScript", 0, 220, 0, 0, 26, 4, 250
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.wxml", "WXML", 0, 0, 34, 0, 3, 2, 39
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.wxss", "CSS", 0, 0, 0, 143, 5, 28, 176
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.js", "JavaScript", 0, 102, 0, 0, 27, 4, 133
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.wxml", "WXML", 0, 0, 10, 0, 1, 0, 11
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.wxss", "CSS", 0, 0, 0, 23, 1, 1, 25
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.js", "JavaScript", 0, 75, 0, 0, 13, 3, 91
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.wxml", "WXML", 0, 0, 20, 0, 1, 0, 21
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.wxss", "CSS", 0, 0, 0, 3, 3, 0, 6
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.js", "JavaScript", 0, 32, 0, 0, 10, 4, 46
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.wxml", "WXML", 0, 0, 9, 0, 1, 1, 11
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\skeleton\skeleton.wxss", "CSS", 0, 0, 0, 34, 2, 7, 43
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\dark.wxss", "CSS", 0, 0, 0, 132, 6, 30, 168
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\icon-new.wxss", "CSS", 0, 0, 0, 102, 2, 4, 108
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\icon.wxss", "CSS", 0, 0, 0, 921, 4, 301, 1226
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\main.wxss", "CSS", 0, 0, 0, 5283, 175, 1070, 6528
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.js", "JavaScript", 0, 11, 0, 0, 10, 5, 26
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.json", "JSON", 4, 0, 0, 0, 0, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.wxml", "WXML", 0, 0, 110, 0, 1, 5, 116
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\event\main\main.wxss", "CSS", 0, 0, 0, 3, 1, 0, 4
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.js", "JavaScript", 0, 34, 0, 0, 29, 19, 82
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.wxml", "WXML", 0, 0, 27, 0, 6, 9, 42
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\article\article.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.js", "JavaScript", 0, 20, 0, 0, 28, 18, 66
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.wxml", "WXML", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\complaint\complaint.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.js", "JavaScript", 0, 20, 0, 0, 28, 18, 66
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.wxml", "WXML", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\finance\finance.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.js", "JavaScript", 0, 100, 0, 0, 11, 4, 115
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.json", "JSON", 4, 0, 0, 0, 0, 1, 5
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.wxml", "WXML", 0, 0, 49, 0, 10, 3, 62
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\main\main.wxss", "CSS", 0, 0, 0, 5, 1, 0, 6
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.js", "JavaScript", 0, 20, 0, 0, 28, 18, 66
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.wxml", "WXML", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\parknote\parknote.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.js", "JavaScript", 0, 65, 0, 0, 41, 15, 121
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.wxml", "WXML", 0, 0, 57, 0, 7, 3, 67
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partybuild\partybuild.wxss", "CSS", 0, 0, 0, 0, 1, 1, 2
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.js", "JavaScript", 0, 20, 0, 0, 28, 18, 66
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.json", "JSON", 3, 0, 0, 0, 0, 0, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.wxml", "WXML", 0, 0, 1, 0, 1, 1, 3
"c:\Users\Gabriel\WeChatProjects\miniprogram-2\pages\homepage\partygarden\partygarden.wxss", "CSS", 0, 0, 0, 0, 1, 0, 1
