Date : 2023-08-04 17:42:27
Directory : c:\Users\Gabriel\WeChatProjects\miniprogram-2
Total : 128 files,  10810 codes, 1223 comments, 2013 blanks, all 14046 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| CSS        |         34 |      6,822 |        229 |      1,485 |      8,536 |
| JavaScript |         33 |      2,799 |        899 |        458 |      4,156 |
| WXML       |         28 |        962 |         95 |         69 |      1,126 |
| JSON       |         33 |        227 |          0 |          1 |        228 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        128 |     10,810 |      1,223 |      2,013 |     14,046 |
| . (Files)                                                                                         |          7 |        207 |         11 |         10 |        228 |
| .cloudbase                                                                                        |          1 |          1 |          0 |          0 |          1 |
| .cloudbase\container                                                                              |          1 |          1 |          0 |          0 |          1 |
| colorui                                                                                           |         21 |      7,300 |        286 |      1,497 |      9,083 |
| colorui (Files)                                                                                   |          5 |      6,579 |        193 |      1,443 |      8,215 |
| colorui\components                                                                                |         16 |        721 |         93 |         54 |        868 |
| colorui\components\calendar                                                                       |          4 |        401 |         34 |         34 |        469 |
| colorui\components\canvas2d-ring                                                                  |          4 |        139 |         29 |          5 |        173 |
| colorui\components\cu-custom                                                                      |          4 |        102 |         17 |          3 |        122 |
| colorui\components\skeleton                                                                       |          4 |         79 |         13 |         12 |        104 |
| pages                                                                                             |         96 |      2,914 |        772 |        460 |      4,146 |
| pages\event                                                                                       |          4 |        128 |         12 |         10 |        150 |
| pages\event\main                                                                                  |          4 |        128 |         12 |         10 |        150 |
| pages\homepage                                                                                    |         60 |      1,197 |        519 |        304 |      2,020 |
| pages\homepage\article                                                                            |          4 |         64 |         36 |         28 |        128 |
| pages\homepage\complaint                                                                          |          4 |         24 |         30 |         19 |         73 |
| pages\homepage\finance                                                                            |          4 |         24 |         30 |         19 |         73 |
| pages\homepage\main                                                                               |          4 |        158 |         22 |          8 |        188 |
| pages\homepage\parknote                                                                           |          4 |         24 |         30 |         19 |         73 |
| pages\homepage\partybuild                                                                         |          4 |        125 |         49 |         19 |        193 |
| pages\homepage\partygarden                                                                        |          4 |         24 |         30 |         19 |         73 |
| pages\homepage\policylearn                                                                        |          4 |         96 |         36 |         23 |        155 |
| pages\homepage\quickfix                                                                           |          4 |        162 |         40 |         21 |        223 |
| pages\homepage\registration                                                                       |         12 |        378 |        125 |         73 |        576 |
| pages\homepage\registration (Files)                                                               |          4 |         47 |         35 |         20 |        102 |
| pages\homepage\registration\form                                                                  |          4 |        258 |         60 |         27 |        345 |
| pages\homepage\registration\list                                                                  |          4 |         73 |         30 |         26 |        129 |
| pages\homepage\rent                                                                               |          4 |         24 |         30 |         19 |         73 |
| pages\homepage\submithelp                                                                         |          4 |         70 |         31 |         18 |        119 |
| pages\homepage\supervision                                                                        |          4 |         24 |         30 |         19 |         73 |
| pages\index                                                                                       |          4 |        109 |         37 |         19 |        165 |
| pages\mall                                                                                        |         12 |        877 |         80 |         53 |      1,010 |
| pages\mall\category                                                                               |          4 |        370 |         31 |         20 |        421 |
| pages\mall\goods                                                                                  |          4 |        121 |         30 |         27 |        178 |
| pages\mall\main                                                                                   |          4 |        386 |         19 |          6 |        411 |
| pages\my                                                                                          |         16 |        603 |        124 |         74 |        801 |
| pages\my\account                                                                                  |          4 |        138 |         38 |         17 |        193 |
| pages\my\bills                                                                                    |          4 |        128 |         30 |         23 |        181 |
| pages\my\main                                                                                     |          4 |        219 |         19 |          9 |        247 |
| pages\my\nickname                                                                                 |          4 |        118 |         37 |         25 |        180 |
| utils                                                                                             |          3 |        388 |        154 |         46 |        588 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                          | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\.cloudbase\container\debug.json                     | JSON       |          1 |          0 |          0 |          1 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\.eslintrc.js                                        | JavaScript |         25 |          6 |          1 |         32 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\app.js                                              | JavaScript |         27 |          4 |          4 |         35 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\app.json                                            | JSON       |         39 |          0 |          0 |         39 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\app.wxss                                            | CSS        |         26 |          1 |          5 |         32 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\animation.wxss                              | CSS        |        141 |          6 |         38 |        185 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.js             | JavaScript |        220 |         26 |          4 |        250 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.json           | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.wxml           | WXML       |         34 |          3 |          2 |         39 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\calendar\calendar.wxss           | CSS        |        143 |          5 |         28 |        176 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.js   | JavaScript |        102 |         27 |          4 |        133 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.json | JSON       |          4 |          0 |          0 |          4 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.wxml | WXML       |         10 |          1 |          0 |         11 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\canvas2d-ring\canvas2d-ring.wxss | CSS        |         23 |          1 |          1 |         25 |
| c:\Users\Gabriel\WeChatProjects\miniprogram-2\colorui\components\cu-custom\cu-custom.js           | JavaScript |         75 |         13 |          3 |         91 |
